RMSE_Score,Prediction
0.08939327234941521,ANOMALY
0.09444551983057878,ANOMALY
0.1074377197938175,ANOMALY
0.0764215941991287,ANOMALY
0.008621033743536516,ANOMALY
0.002502444156884076,ANOMALY
0.0047982963411320415,ANOMALY
0.10508464234416118,ANOMALY
0.00570518873467347,ANOMALY
0.005127692296086024,ANOMALY
0.04106916627947446,ANOMALY
0.037531417841708964,ANOMALY
0.010319634742387064,ANOMALY
0.14308018353177177,ANOMALY
0.03777595547851388,ANOMALY
0.004025061596512791,ANOMALY
0.005547706024120549,ANOMALY
0.003447694377157131,ANOMALY
0.00578857998506744,ANOMALY
0.004970292539660907,ANOMALY
0.001032777359008769,ANOMALY
0.005198826128405068,ANOMALY
0.0038794652690762764,ANOMALY
0.009978970156477036,ANOMALY
0.08252302559342045,ANOMALY
0.1477055148382119,ANOMALY
0.08252822670405162,ANOMALY
0.14566527415431318,ANOMALY
0.003288204057922524,ANOMALY
0.0063512171103968385,ANOMALY
0.005445642642707548,ANOMALY
0.0033148195221013887,ANOMALY
0.006297272057168275,ANOMALY
0.003013293733616694,ANOMALY
0.004996499772168839,ANOMALY
0.0034611323937406534,ANOMALY
0.005671554301835773,ANOMALY
0.005416403964905918,ANOMALY
0.005607046727655789,ANOMALY
0.004958876370662058,ANOMALY
0.004996499772168839,ANOMALY
0.005006297304178043,ANOMALY
0.0748538821806941,ANOMALY
0.005407190449742981,ANOMALY
0.006318611608924245,ANOMALY
0.004968053861648197,ANOMALY
0.004563706095475601,ANOMALY
0.009474111694123924,ANOMALY
0.005425877262446171,ANOMALY
0.0054117653264630595,ANOMALY
0.005071404481441407,ANOMALY
0.07493449409464961,ANOMALY
0.0053938370096206605,ANOMALY
0.0033148195221013887,ANOMALY
0.005006297304178043,ANOMALY
0.006314220288717102,ANOMALY
0.003321678987551847,ANOMALY
0.006356157687963535,ANOMALY
0.0054356200882406435,ANOMALY
0.00943555033129036,ANOMALY
0.0062698179473483955,ANOMALY
0.0067395446761783695,ANOMALY
0.0033356540586112642,ANOMALY
0.003288204057922524,ANOMALY
0.003714959996368698,ANOMALY
0.0030721191350441155,ANOMALY
0.005196791230952136,ANOMALY
0.0033148195221013887,ANOMALY
0.005416403964905918,ANOMALY
0.003067871871432197,ANOMALY
0.005360763425395174,ANOMALY
0.005006297304178043,ANOMALY
0.0029170644704995356,ANOMALY
0.005622385792958339,ANOMALY
0.01030936792505199,ANOMALY
0.14944214946052115,ANOMALY
0.08253402189059442,ANOMALY
0.1454896539204881,ANOMALY
0.004760127591903199,ANOMALY
0.0059677653621194905,ANOMALY
0.005967734449522352,ANOMALY
0.005495225780867795,ANOMALY
0.005495205773352275,ANOMALY
0.00518016755596555,ANOMALY
0.005495225415195643,ANOMALY
0.008487869220969066,ANOMALY
0.002530509566359793,ANOMALY
0.005967735175803941,ANOMALY
0.005390346330911271,ANOMALY
0.00596773534682502,ANOMALY
0.005430714357576143,ANOMALY
0.005450762138335225,ANOMALY
0.007910452449949349,ANOMALY
0.00491783266142065,ANOMALY
0.018470646885181356,ANOMALY
0.006361173188049946,ANOMALY
0.006755451595975058,ANOMALY
0.005390401059233497,ANOMALY
0.006301418873119625,ANOMALY
0.0033148195221013887,ANOMALY
0.0054211075422058155,ANOMALY
0.003301349935141961,ANOMALY
0.005390346073555717,ANOMALY
0.005124448400711952,ANOMALY
0.004917871572961977,ANOMALY
0.0028251829832621027,ANOMALY
0.0041827116942272195,ANOMALY
0.004996499772168839,ANOMALY
0.003131453664884804,ANOMALY
0.004986862281621151,ANOMALY
0.0033356540586112642,ANOMALY
0.009480380037172652,ANOMALY
0.0046027429468592125,ANOMALY
0.004958876370662058,ANOMALY
0.0056546164193286425,ANOMALY
0.0065474133341858415,ANOMALY
0.003838686743135426,ANOMALY
0.0028509641029526318,ANOMALY
0.0032753717490473827,ANOMALY
0.0054211075422058155,ANOMALY
0.005390344975445888,ANOMALY
0.004917872422471351,ANOMALY
0.0053630737482198605,ANOMALY
0.07492937844877631,ANOMALY
0.005026386614407209,ANOMALY
0.0054356200882406435,ANOMALY
0.07419108963544874,ANOMALY
0.07001176726534517,ANOMALY
0.07006545878364094,ANOMALY
0.045019219793265,ANOMALY
0.09531551217729085,ANOMALY
0.09972057139942449,ANOMALY
0.04339937873588479,ANOMALY
0.11285342662567285,ANOMALY
0.010603579142634852,ANOMALY
7.506777864778263e-06,ANOMALY
0.08139502120635388,ANOMALY
0.010262377146989103,ANOMALY
0.008808478960027148,ANOMALY
0.10530332190124325,ANOMALY
0.08140224472030845,ANOMALY
0.08335117495716403,ANOMALY
0.14771719455324653,ANOMALY
0.14778885904512054,ANOMALY
7.893152284979454e-06,ANOMALY
0.10750830584155949,ANOMALY
0.005477498106581842,ANOMALY
0.00558494791005985,ANOMALY
0.0069267420915684,ANOMALY
0.005321760228141586,ANOMALY
0.0037974127850035682,ANOMALY
0.005760369335533371,ANOMALY
0.006446519938017569,ANOMALY
0.005244488213980134,ANOMALY
0.00559956171917,ANOMALY
0.005998733216046841,ANOMALY
0.0031474766197151127,ANOMALY
0.07424256627274964,ANOMALY
0.0031997767565247115,ANOMALY
0.0033797318842543637,ANOMALY
0.004585503262599408,ANOMALY
0.004859380907311662,ANOMALY
0.005515452005058172,ANOMALY
0.00557079269788126,ANOMALY
0.0038821131818333418,ANOMALY
0.00578637493443059,ANOMALY
0.006555592018228273,ANOMALY
0.00653148056422531,ANOMALY
0.015404438463277718,ANOMALY
0.0052586114756431775,ANOMALY
0.0021781702851549267,ANOMALY
0.0033797318842543637,ANOMALY
0.004795876609406243,ANOMALY
0.0036722759247694295,ANOMALY
0.00456723033203853,ANOMALY
0.005622385792958339,ANOMALY
0.003605517293066181,ANOMALY
0.009445380744481386,ANOMALY
0.004859380907311662,ANOMALY
0.005016258384880014,ANOMALY
0.0053630737482198605,ANOMALY
0.0038821131818333418,ANOMALY
0.005307318848881247,ANOMALY
0.005461224479384361,ANOMALY
0.005646357609667666,ANOMALY
0.006843033971211738,ANOMALY
0.006421748658983591,ANOMALY
0.003695844270481856,ANOMALY
0.006061447832864195,ANOMALY
0.003638179947533843,ANOMALY
0.005671554301835773,ANOMALY
0.004696269506156154,ANOMALY
0.0043004786578493825,ANOMALY
0.003683974171017699,ANOMALY
0.006516092643428603,ANOMALY
0.0054117653264630595,ANOMALY
0.0030157394989939286,ANOMALY
0.009495391645934742,ANOMALY
0.07387626162928951,ANOMALY
0.005698059512630694,ANOMALY
0.004574407077992794,ANOMALY
0.005671554301835773,ANOMALY
0.003616250549891625,ANOMALY
0.005663644443335208,ANOMALY
0.006472961515174462,ANOMALY
0.005320591564007439,ANOMALY
0.018470646885181356,ANOMALY
0.004578060958175542,ANOMALY
0.015397856895525768,ANOMALY
0.0065012252707293775,ANOMALY
0.006281257106120761,ANOMALY
0.005425877262446171,ANOMALY
0.0072601715322848535,ANOMALY
0.0029925673202991876,ANOMALY
0.0052150858662257105,ANOMALY
0.005617494773487163,ANOMALY
0.005707200841550069,ANOMALY
0.006062726586945549,ANOMALY
0.0038859000923797088,ANOMALY
0.009450063359461927,ANOMALY
0.15577132049133882,ANOMALY
0.0029925673202991876,ANOMALY
0.004059959490943761,ANOMALY
0.005745392922868545,ANOMALY
0.006069310233223597,ANOMALY
0.005638234843360033,ANOMALY
0.017892381422489723,ANOMALY
0.00452147524924154,ANOMALY
0.006784445543554467,ANOMALY
0.00555707733075467,ANOMALY
0.004923605229608112,ANOMALY
0.005755366702366008,ANOMALY
0.07389037189390446,ANOMALY
0.005338982362719384,ANOMALY
0.004986862281621151,ANOMALY
0.005411258897286717,ANOMALY
0.004100798586456467,ANOMALY
0.038897946158430625,ANOMALY
0.0402272449586335,ANOMALY
0.10627607626968719,ANOMALY
0.08674672174132972,ANOMALY
